Date,Drought Level Index,Precipitation_in,Temperature_C,Vegetation,Evapotranspiration,County
2000-02,1.75426,0.32,25.5571,0.2044,1.6404,Crosby
2000-03,2.016075,3.07,26.9737,0.216,2.716475,Crosby
2000-04,0.296925,2.36,33.351775,0.27375,1.790225,Crosby
2000-05,0.4066,1.02,40.81573333,0.2996,1.057933333,Crosby
2000-06,0.25,4.55,36.667025,0.4045,3.800975,Crosby
2000-07,0.473725,0.72,40.514825,0.4406,2.51405,Crosby
2000-08,0.2491,0.01,44.0134,0.355,2.299733333,Crosby
2000-09,2.75,0,41.413525,0.29175,2.012675,Crosby
2000-10,3.70626,3.3,23.761575,0.2599,5.7542,Crosby
2000-11,1.5133,1.74,13.58953333,0.2355,4.8819,Crosby
2000-12,1.2067,0.79,9.906025,0.2268,4.77565,Crosby
2001-01,1,1,10.654575,0.240014286,5.331575,Crosby
2001-02,1,0.63,17.4882,0.253228571,5.58865,Crosby
2001-03,0.75,2.45,23.1614,0.266442857,4.959225,Crosby
2001-04,0,0.01,33.3148,0.279657143,3.3104,Crosby
2001-05,0,2.74,38.623075,0.292871429,2.4984,Crosby
2001-06,0.76215,0.85,43.21875,0.306085714,1.01455,Crosby
2001-07,2.57904,0.41,47.14545,0.3193,1.3765,Crosby
2001-08,2.74665,1.79,41.454575,0.32855,3.753775,Crosby
2001-09,2,0.69,36.2842,0.3043,3.2615,Crosby
2001-10,2,0.08,31.38176667,0.2508,2.042133333,Crosby
2001-11,2.09515,3.83,21.60915,0.2534,4.12175,Crosby
2001-12,2,0.09,12.3233,0.256,3.560275,Crosby
2002-01,1.98726,0.8,15.29755,0.2586,3.62455,Crosby
2002-02,0.250075,0.77,17.32005,0.2612,2.7025,Crosby
2002-03,0.750725,1.66,25.82205,0.2638,2.9371,Crosby
2002-04,0.0477,2.34,32.08493333,0.29405,3.069266667,Crosby
2002-05,0,1.21,37.3884,0.3016,2.216875,Crosby
2002-06,0.796225,2.82,40.2624,0.31245,2.5005,Crosby
2002-07,0.37598,2.27,39.8512,0.39615,5.11705,Crosby
2002-08,0,2.51,40.770425,0.3946,4.262475,Crosby
2002-09,0,0.72,35.454525,0.3441,4.6367,Crosby
2002-10,0.8,4.94,24.66156667,0.3302,7.3052,Crosby
2002-11,0,0.5,17.717725,0.27275,3.65415,Crosby
